480,CEP78,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
481,TCF7L2,immunomodulators,TGFB_score_21050467,filtered out
482,PAK1,immunomodulators,TGFB_score_21050467,filtered out
483,CHEK1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
484,TAGLN,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
485,MMP3,immunomodulators,TGFB_score_21050467,filtered out
486,CCT5,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
487,IL18,immunomodulators,CSF1_response,filtered out
488,TEX30,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
489,FLI1,immunomodulators,CSF1_response,filtered out
490,CENPU,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
